FoodEstabKey,EstablishmentKey,businessname
693,693,CONOR LARKINS GRILL & TAP
694,694,Constitution Center Cafe
695,695,Conte 1
696,696,Conte 2
697,697,Conte 3
698,698,Conte 4
699,699,Conte 5
700,700,Conte 6
701,701,Conte 7
702,702,Conte 8
703,703,Convene @ 1 Boston Place
704,704,Converse
705,705,COOGAN'S BLUFF
706,706,Copley Square Hotel
707,707,Coppa
708,708,Coppersmith Hall
709,709,Coreanos
710,710,Corner Cafe
711,711,Corner Stone Pizza Cafe
712,712,Corner Store
713,713,Cornish Pasty Co. Boston
714,714,Cornwall's
715,715,CORPORATE CHEFS
716,716,Corporate Chefs @ Plaza Cafe (Tufts)
717,717,Corporate Chefs @ Tufts Food 4 Thot
718,718,CORRIB PUB
719,719,CORRIB PUB AND RESTAURANT
720,720,Cosi No.  214
721,721,Cosi No. 204
722,722,Cosi No. 206 (Air Canada)
723,723,Cosi No. 305
724,724,Cosi No. 312 (Hood Park Cafe)
725,725,COSI No. 315 (Logan Term C)
726,726,Cosi No. 901
727,727,Costello's Tavern Inc
728,728,Country Kitchen
729,729,COURT SQUARE SMOKE SHOP
730,730,Courtyard Boston Downtown
731,731,Courtyard Boston Downtown Market
732,732,Courtyard by Marriot Boston - The Bistro
733,733,Courtyard By Marriott
734,734,COURTYARD CAFE
735,735,COURTYARD MARRIOTT COPLEY
736,736,Courtyard Marriott Copley (RF)
737,737,Courtyard Marriott Logan
738,738,Courtyard Marriott Logan Airport
739,739,Craft Table & Bar
740,740,Craigie Burger
741,741,Cram Seafood Co.
742,742,Crave Mad For Chicken
743,743,Cravin' Shallot
744,744,Crawford Drug
745,745,Crazy Dough Pizza
746,746,Crazy Dough's Pizza
747,747,Crescent Ridge Dairy
748,748,CREST LIQUORS
749,749,Crispy Dough Pizzeria
750,750,CROKE PARK
751,751,Crudo
752,752,Crush Pizza
753,753,Crystal Restaurant
754,754,Crystal/Gorage Lounge
755,755,Cucina Aurora
756,756,Cummins Highway Sunoco Inc.
757,757,Cummins Mini Mart
758,758,Cunard Tavern
759,759,Cuong's Vegan Sandwiches
760,760,Cupcake City
761,761,CUPPACOFFEE
762,762,Cure Lounge (basement at Wilbur Theatre)
763,763,Currito Burrito
764,764,CVS No.  1217
765,765,CVS No.  2282
766,766,CVS No.  260
767,767,CVS No. 1024
768,768,CVS No. 1049
769,769,CVS No. 11036
770,770,CVS No. 11082
