ID,businessname,legalowner,LicenseFK
453,BRUEGGER'S BAGEL BAKERY No.  274,BRUEGGERS BAGEL BAKERY #274,453
454,Bruins Bar,BETTANO TERRI,454
455,BTM Cafe,,455
456,BTM Employee Micro Market,,456
457,Bubor Cha Cha,YEE WILLIAM,457
458,Buco Trattoria,ARTIST BUILDING 300 SUMMER,458
459,Buk Kyung No.  2,LEE SOOK,459
460,BUKOWSKI,CAMBRIA- SCOTIA COMPANY,460
461,Bunker Hill Market,,461
462,Burger King No.  16370,,462
463,Burger King No.  3483,BURGER KING CORP/REST.,463
464,Burger King No.  3531,TAGLIANTE  JR. JOSEPH,464
465,Burrito's Pizzeria,LUIS FERNANDEZ,465
466,Burro Bar,,466
467,Buster's Bark,,467
468,Butterfly Coffee,,468
469,Buttermilk & Bourbon,,469
470,By Chloe,,470
471,By Chloe`,PAGOUNIS GEORGE,471
472,C & G Service,,472
473,C Fruit Life,,473
474,C V S/PHARMACY No.  3890,  ,474
475,C V S/Pharmacy No.  8988,  ,475
476,C V S/Pharmacy No. 4666,WEINREB ROGER L TS,476
477,C V S/PHARMACY No. 5382,HALLSTON RLTY ASSOCIATES LLC,477
478,C01/B01/Y01,JACK LYONS  MANAGER,478
479,C11,,479
480,C12/B12,,480
481,C13/B13,,481
482,C15/B15,,482
483,C16/B16,,483
484,C17/B17,,484
485,CABANA GRILL,VELASQUEZ RUBEN D,485
486,Cactus Grill,BARTOLOMI LOIS A,486
487,CAFE @ 1295,,487
488,CAFE 1010,CHAKRABERTY,488
489,Cafe 24,BOSTON CONSERVATORY,489
490,Cafe 26,CATHEDERAL CHURCH OF ST PAUL,490
491,Cafe 472,,491
492,Cafe 939,WILLIAM NOLAN,492
493,CAFE ARPEGGIO,CAFE ARPEGGIO:  YONG GOUL D,493
494,CAFE Artigiano,,494
495,Cafe Beatrice,GARABEDIAN LINDA R ETAL,495
496,Cafe Beirut,PEACOCK REALTY CORP,496
497,Cafe De Boston,,497
498,Cafe GiGu,PALMER ANDREW J,498
499,Cafe Landwer,,499
500,Cafe Madeleine,FIVE 17 COLUMBUS CONDO TR,500
501,Cafe Mamtaz,BISHOP,501
502,Cafe Med,RUGGERI FRANCESCO,502
503,CAFE MIRROR,PANG SOU,503
504,CAFE NAPOLI,CRISTALLO GUERINO,504
505,CAFE POLONIA,DAREK BARCIKOWSKI,505
506,CAFE PORTO BELLO,,506
507,Cafe Presto,,507
508,Cafe SuSu,CIMINO JOSEPH P,508
509,CAFENATION,,509
510,Cafeteria Boston,G S PARTNERS,510
511,Cafeteria Y Pizzeria Mi Colombia,,511
512,CAFFE BELLAVITA,CHIU YU HSI,512
513,Caffe Bene,  ,513
514,Caffe Dello Sport,CATTANEO ANGELO,514
515,Caffe di Marina,,515
516,Caffe Nero,,516
517,CAFFE PARADISO,DE STEFANO OSCAR,517
518,Caffe Strega,,518
519,Caffe Vittoria,RICCIO GENNARO,519
520,Cajun Cajun,AU BON PAIN  CO.  INC.,520
521,CALIFORNIA PIZZA KITCHEN,  ,521
522,Cambio Latino,,522
523,Cambridge Naturals,,523
524,Camden Food Co,,524
525,Camilo Liquors I I I,CHONG ANDREW S,525
526,Camilo Market,TWO-80 CENTRE STREET LLC,526
527,Camp Harborview,,527
528,Canary Square,H T E INC,528
529,CANTINA ITALIANA,FIUMARA PETER J TS,529
530,CANTON EATERY,,530
531,CANTON HOUSE,,531
532,Cape Verdean Taste,,532
533,Capital One Cafe,,533
534,CAPITOL COFFEE HOUSE,MAIONE SEBASTIANO,534
535,CAPO RESTAURANT,,535
536,CAPPY'S PIZZA,PSEUDOIKONOMOU NICKOLAOS TS,536
537,CAPPY'S PIZZA & SUBS,,537
538,CAPTAIN MARDEN'S SEAFOODS,,538
539,CAPTAIN NEMO'S,,539
540,Caribe Restaurant,OCONNOR BREDA TS,540
541,CARLOS CUCINA ITALIANA,,541
542,Carmelina's North End,DIPAOLA CARMELA TS,542
543,CARNEY HOSPITAL,,543
544,Carniceria Y Legumbreria 1A Market,  ,544
545,CAROL ANN BAKE SHOP,,545
546,Carrie Nation,  ,546
547,Carrot Flower,,547
548,CARVER DEN,MWGW CARVER GRAND LODGE ,548
549,Casa Cana,SKATING CLUB OF BOSTON,549
550,Casa Colombia Rest. Ice Cream & Bakery,RICUPERO JOSEPH M,550
551,Casa Cuong,,551
552,Casa Razbora,KAPLANIDIS JOHN,552
553,Casa Real Mexican Food,SPRING GARDEN PARTNERS LLC,553
554,CASA ROMERO,THIRTY GLOUCESTER ST,554
555,Casa Verde,,555
556,Casabe Kitchen,,556
557,Casali Market,  ,557
558,Casarecce Cucina Italiana,,558
559,Cask N Flagon,OLIVER TWIST INC,559
560,CASTILLO BEER  WINE AND LIQUORS  LLC,DANIELS RICHARD A,560
561,Castillo Liquors Inc.,DOKU JOANNA TS,561
562,Catering,JACK LYONS  MANAGER,562
563,Cathedral Station,GEORGES MARKET LLC,563
564,CAUSEWAY CAFE,BEVERLY-BOSTON LP,564
565,Cava,,565
566,CAVAN CAFE,PARK AVE. GROUP,566
567,Center Stage @ Emerson,,567
568,CENTERFOLDS,,568
569,Centerplate @ Blue Hills Bank Pavilion,SHEEREE,569
570,Centerplate @ ORPHEUM THEATRE,  ,570
571,Central Wharf Co.,ONE 60-166 MILK STREET LP,571
572,Centre St. Meatland,BUBLY JACOB D TS,572
573,Chacarero,  ,573
574,CHACHO'S PIZZA,,574
575,Chama's Mart Inc.,,575
576,Champion Club,JACK LYONS  MANAGER,576
577,Channel Center Cafe,,577
578,CHARLESMARK HOTEL,HAJJAR CHARLES C TS,578
579,Charlestown Cafe  Inc.,,579
580,CHARLESTOWN LIQUORS,SING MING CHAN  PRES.,580
581,Charlestown Market,ENT  INC.,581
582,Charlestown Recovery House,  ,582
583,Charlestown Tea & Treats,TOWN REALTY LLC,583
584,Charlestown Youth Hockey Association,,584
585,Charley's Philly Steak,  ,585
