LiquorEstKey,EstablishmentKey,COMMENTS,CLOSING,PATRONSOUT,CAPACITY
138,7207,AS PER AGREEMENT BETWEEN LICENSEE AND BEACON HILL CIVIC ASSOCIATION  1.) PREMISES SHALL HAVE A CAPACITY OF NO GREATER THAN 64 PERSONS  WITH A DINING COUNTER FOR NO MORE THAN 13 SEATED (AND NO STANDING) PATRONS.  2.) PATRONS SHALL VACATE THE PREMISES NO LATER THAN MIDNIGHT.  3.) ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD.,MIDNIGHT,12:30 AM,64
139,7208,CAPACITY BREAKDOWN: 52 PERSONS AS FOLLOWS: 10- PERSONS BAR STOOLS; 42 - PERSONS TABLE & CHAIRS,1:00 AM,1:30 AM,52
140,7209,Mini-Bars for guest quarters.,2:00 AM,NULL,0
141,7210,NONE,2:00 AM,2:30 AM,180
142,7211,PATIO CONDITIONS: 1.) TO BE STAFFED AT ALL TIMES  2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,2:00 AM,2:30 AM,400
143,7212,NONE,1:00 AM,1:30 AM,160
144,7213,NO SERVICE OF ALCOHOL IN BOWLING AREA IF CHILDREN ARE PRESENT.,1:00 AM,1:30 AM,200
145,7214,NONE,2:00 AM,2:30 AM,480
146,7215,NONE,11:00 P.M.,11:30 P.M.,45
147,7216,NONE,2:00 AM,2:30 AM,487
148,7217,(1) Breakfast to be served. (2) Lunches including hot meals to be served from at least 12 to 2:00 P.M. 7 days per week. (3) Dinner including hot meals to be served from at least 6 PM to 9 PM 7 days per week. (4) Food consisting of at least sandwiches to be available at all times that alcoholic beverages are being served. (5) At least 44 seats at least eleven 4 X 4 foot tables to be in place at all times  as per floor plan. (6). No more than eleven seats at the bar.,2:00 AM,NULL,0
149,7218,Pledges of stock and license with x,MIDNIGHT,12:30 AM,219
150,7219,NONE,MIDNIGHT,12:30 AM,219
151,7220,NONE,MIDNIGHT,12:30 AM,178
152,7221,FOOD UNTIL 3:00 A.M.  ALL PATRONS OUT BY 3:30 A.M.,1:00 AM,1:30 AM,210
153,7222,A.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  B.) NEIGHBORHOOD AGREEMENT TO BE INCORPORATED BY REFERENCE.,11:00 PM,11:30 PM,124
154,7223,,2:00 AM,2:30 AM,433
155,7224,,2:00 AM,NULL,0
156,7225,NONE,1:00 AM,1:30 AM,110
157,7226,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,10:00 PM,10:30 PM,103
158,7227,NONE,1:00 AM,1:30 AM,68
159,7228,PATIO HOURS: 11:00 A.M. - 2:00 A.M.  ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.  BOTTLE SERVICE APPROVED FOR ALIBI.,2:00 AM,2:30 AM,392
160,7229,BOTTLE SERVICE GRANTED BY BLB,2:00 AM,2:30 AM,299
161,7230,BOTTLE SERVICE ALLOWED.,2:00 AM,2:30 AM,540
162,7231,CAPACITY BREAKDOWN:105- PERSONS TABLE  CHAIRS; 13-PERSONS BAR STOOLS; 123-PERSONS STANDING  3 STAFF.A.) BOTTLE SERVICE GRANTED BY BLB.,2:00 AM,2:30 AM,244
163,7232,NONE,1:00 a.m.,NULL,108
164,7233,(1) 41 seats basement  40 seats 1st fl  50 seats outdoor. (2) Patio to close at 10:00 P.M. (3) Food to be served with alcoholic beverage orders inside premises. (4) Food to be served with alcoholic beverage orders outside between 6:00 PM to 10:00 PM. (5) Deliveries from 9:00AM-10:00 AM.,1:00 AM,1:30 AM,81
165,7234,NONE,2:00 AM,2:30 AM,273
